Price,Close,High,Low,Open,Volume,MA_7,MA_30,Daily_Change
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL,,,
Date,,,,,,,,
2022-06-09,140.0927276611328,145.3078990369071,139.98469144678566,144.4534403328957,69473000,144.62045070103235,146.2628967285156,-3.5955837448748085
2022-06-10,134.68115234375,138.24631801246798,134.61239520262438,137.77489399581836,91437900,142.9957013811384,145.40286916097006,-3.862852417630669
2022-06-13,129.52490234375,132.78560625742455,129.0927574306163,130.49721341200203,122207100,140.28357587541853,144.56678059895833,-3.8284866963712805
2022-06-14,130.38919067382812,131.49901613498997,129.1320498799016,130.75259347181498,84784300,138.5129111153739,143.7493677775065,0.6672758013624103
2022-06-15,133.01153564453125,134.88743119148035,129.79994084447466,131.89189392813557,91533000,137.01023646763392,142.9696772257487,2.0111674573262572
2022-06-16,127.73741912841797,130.02581237807436,126.73562983340109,129.72135067721175,108123900,134.39352525983537,141.80039087931314,-3.965157225316285
2022-06-17,129.21063232421875,130.70349274398822,127.49188338256819,127.74724995941777,134520300,132.09250858851843,140.98259353637695,1.1533137320707265
2022-06-21,133.44363403320312,134.61238545733227,130.93918382298145,131.0373890350951,81000500,131.14263807024275,140.28166987101238,3.2760475146989654
2022-06-22,132.93295288085938,135.29990419534238,131.51866571381353,132.38294065988546,73409200,130.8928952898298,139.73461736043294,-0.38269427840722514
2022-06-23,135.80081176757812,136.11508949160935,133.20795685254018,134.37670851634957,72433800,131.78945377894811,139.20295079549155,2.1573724381862336
2022-06-24,139.13026428222656,139.37579982628543,137.27401616859356,137.40168446081998,89116800,133.03817858014787,139.04449793497722,2.4517176821790665
2022-06-27,139.13026428222656,140.92758626309347,138.45258378281605,140.1516855515393,70207900,133.9122826712472,139.01503372192383,0.0
2022-06-28,134.98562622070312,140.85883237422544,134.86777395244602,139.59187553155968,67083400,134.94774082728796,138.69845606486004,-2.9789622573533014
2022-06-29,136.74365234375,138.15793948922365,134.2293707457082,135.00527146488074,66242400,136.02388654436385,138.49187800089518,1.302380240228307
2022-06-30,134.2784881591797,135.89901685954254,131.38117155043633,134.7990223471169,98964500,136.14315141950334,138.0819969177246,-1.8027631574249026
2022-07-01,136.44898986816406,136.55702609474315,133.2373961064284,133.6105999003664,71051600,136.64544241768974,138.02012049357097,1.6164180418916985
2022-07-05,139.03204345703125,139.08115356288656,134.4847204054961,135.3097312194843,73353800,137.10704694475447,138.1579465230306,1.893054387110471
2022-07-06,140.36773681640625,141.54630425251995,138.56059908194536,138.8257816256178,74064300,137.28382873535156,138.33243993123372,0.960709003595861
2022-07-07,143.73648071289062,143.93290610609026,140.7212977259225,140.73111375037857,66253700,137.94185965401786,138.4385098775228,2.399941733683808
2022-07-08,144.41419982910156,144.91510200246088,142.41063609457171,142.66598770215515,64547800,139.28879874093192,138.65719985961914,0.4715011198616059
2022-07-11,142.2829132080078,144.02130882314293,141.2123819760872,143.06862984096085,63141600,140.08012172154017,138.79960861206055,-1.4758151370266148
2022-07-12,143.25527954101562,145.79902455570198,142.45974665881124,143.15705931439427,77588800,141.3625204903739,138.86770451863606,0.6834034467556149
2022-07-13,142.89186096191406,143.83470899507392,139.58203186092555,140.4365056872071,71185600,142.2829306466239,138.73184127807616,-0.2536859934697988
2022-07-14,145.81861877441406,146.29004272155422,140.6918365170866,141.50701614657092,78140700,143.25244140625,138.71972681681316,2.04823269344927
2022-07-15,147.48829650878906,148.16597704358819,145.55347512166446,147.1052616395071,76259900,144.26966421944755,138.76752344767252,1.145037409082894
2022-07-18,144.44369506835938,148.86333602461966,144.08029217682443,148.04815600544183,81420900,144.37069484165735,138.63198725382486,-2.0643003631466095
2022-07-19,148.30349731445312,148.52938586254203,144.28653863291348,145.27849702782842,82982400,144.92630876813615,138.81597569783528,2.6721846490198597
2022-07-20,150.3070526123047,150.9749171763546,147.6847344414976,148.42134117440867,64823400,146.07261439732142,139.04186884562174,1.3509831758069524
2022-07-21,152.5758056640625,152.79187815956976,149.2266969700013,151.7409787508479,65086600,147.40411812918526,139.25924911499024,1.5094122413601863
2022-07-22,151.3383026123047,153.48919663577172,150.6704530452512,152.61509059283281,66675400,148.61075265066964,139.45993423461914,-0.8110742370795787
2022-07-25,150.21868896484375,152.27136314649474,149.56065530315058,151.25975759338235,53623900,149.2393341064453,139.79746627807617,-0.7398085138625721
2022-07-26,148.89276123046875,150.3561434947877,148.1070444852617,149.54096368293668,55138700,149.43997192382812,140.27118657430012,-0.8826649623372207
2022-07-27,153.9900665283203,154.5204317003286,149.4427584043403,149.8552563235132,78620700,150.8037392752511,141.08669204711913,3.423474221128542
2022-07-28,154.5400848388672,154.82489948966665,151.65258430440582,154.17668202554245,81378700,151.6946803501674,141.89172185262044,0.3571777861695491
2022-07-29,159.60794067382812,160.70795024668809,156.6516977293032,158.3606307359644,101786900,153.02337864467077,142.77826868693035,3.279314774703912
2022-08-01,158.62579345703125,160.66865118760447,158.01687004208316,158.1347223194791,67829400,153.88766261509485,143.8078811645508,-0.6153498457849071
2022-08-02,157.15255737304688,159.50970748502837,156.77935355303202,157.24096155464215,59907000,154.71827043805803,144.7392786661784,-0.9287493867656815
2022-08-03,163.16329956054688,163.61507661089456,157.87936937014717,157.96775857743674,82507500,156.5675005231585,145.7299341837565,3.824781656738674
2022-08-04,162.84901428222656,164.20437546779837,161.49365309665475,163.0454397472784,55474100,158.5612509591239,146.72713623046874,-0.1926200801079525
2022-08-05,162.62278747558594,163.11454067024195,160.31154145785612,160.51808440274291,56697000,159.79449680873327,147.62120208740234,-0.13891813078374948
2022-08-08,162.15069580078125,165.04220702567798,161.49174831186727,163.62595540473944,60276900,160.88172694614954,148.3885498046875,-0.2902985996815266
2022-08-09,162.1998748779297,163.0850396486981,160.5574209787257,161.31472511427808,63135500,161.2520032610212,149.15753682454428,0.03032924213217658
2022-08-10,166.44862365722656,166.54696529007254,164.14720734331007,164.91434111224348,70170500,162.36955043247767,150.20630340576173,2.6194525627682763
2022-08-11,165.7110137939453,168.1697800173322,165.41595884571527,167.25511117853088,57149200,163.5921870640346,151.17188212076823,-0.44314566685768053
2022-08-12,169.26145935058594,169.33029699566112,166.60598003496278,167.01906593388134,68039400,164.4633527483259,152.33798116048177,2.1425525529977563
2022-08-15,170.33349609375,170.53019439574174,168.52384770403629,168.6910420110852,54091700,165.5325644356864,153.46746470133465,0.6333613967864915
2022-08-16,170.17613220214844,170.84492444042124,168.82873307006977,169.93025557179138,56377100,166.61161368233817,154.50560099283854,-0.09238575806308491
